Poem Name,Poet,Line,Metaphor present or not,Count of the metaphor,Metaphorical terms
සික්කා,නිම්න දෙනුවන්,මල් කිනිත්තකි පවුල මාගේ,yes,1,මල් කිනිත්තකි පවුල මාගේ
සික්කා,නිම්න දෙනුවන්,පවට නොව ගියේ වැරදි පාරේ,no,0,
සික්කා,නිම්න දෙනුවන්,මතට ලොල් කලේ මිතුරානේ,no,0,
මවක් විය මා,මහේන් සූරී,සුදු මල් පිච්ච පැහැයෙන් දිස්නය දුන්න,no,0,
මවක් විය මා,මහේන් සූරී,රන් කොඹුවක හැඩෙන් මනයුරු තලමින්න,no,0,
මවක් විය මා,මහේන් සූරී,මදහස පෑව හංසයො පපුවෙහි උන්න,yes,1,හංසයො පපුවෙහි උන්න
මවක් විය මා,මහේන් සූරී,කිරි බර වෙලා අම්මේ එළියට පැන්න,no,0,
සඳ ඉල්ලලා,මහේන් සූරී,දුටු එක් නිමේෂය මොළකැටි රුවට ඇදි,no,0,
සඳ ඉල්ලලා,මහේන් සූරී,වනමල් පවා නව සුවඳක් ගෙනෙන ලදී ,no,0,
සඳ ඉල්ලලා,මහේන් සූරී,වැසුවත් දෙනෙත මනසින් නුඹ නමට බැඳි,no,0,
සඳ ඉල්ලලා,මහේන් සූරී,ඔය බණ කතා මා සනසනු පිණිස මදි,yes,1,ඔය බණ කතා
දාරකාගාරය,මහේන් සූරී,ආදර කතාවේ රන් මිණි කැදලි තනා,yes,1,ආදර කතාවේ රන් මිණි කැදලි තනා
දාරකාගාරය,මහේන් සූරී,ධාරක සතුට පුරවයි මුදු ටිකිරි සිනා,no,0,
දාරකාගාරය,මහේන් සූරී,ජීවිත අරගලේ මව් පිය සටන දිනා,no,0,
දාරකාගාරය,මහේන් සූරී,කාටද හැකි වුනේ තුලනය කරනු මනා,no,0,
(කොඩි) විනය,මහේන් සූරී,ජය ධජ නඟා ලක් නිදහස අභිමානේ,no,0,
(කොඩි) විනය,මහේන් සූරී,සමරන එක් දිනක් සැම වසරක ඕනේ,no,0,
(කොඩි) විනය,මහේන් සූරී,ලිඛිතව ලැබුන මුත් සුද්දගෙ මල දානේ,no,0,
(කොඩි) විනය,මහේන් සූරී,පර ගැති බීජ වැපිරුණි පියවර ගානේ,yes,1,පර ගැති බීජ වැපිරුණි
රඟ මඬළ,මහේන් සූරී,දුර එක දිනෙක අම්මා හැඬූ ගොලු කඳුළු,no,0,
රඟ මඬළ,මහේන් සූරී,පරවුණු මලක් නිවසම කෙරුවද එකළු,yes,1,පරවුණු මලක් නිවසම කෙරුවද එකළු
රඟ මඬළ,මහේන් සූරී,සරනට වුවමනාමද මේ ලෙස පරළු,no,0,
රඟ මඬළ,මහේන් සූරී,දොරගුලු හැරැණු මුත් වැසිලා දොර කවුළු,no,0,
